,Groundtruth,Predict
542,8.51,4.776789218
543,10.22,8.003578876
544,4.34,3.631527593
545,3.02,2.657786162
546,2.73,4.10572566
547,4.56,4.499721924
548,4.55,3.503950656
549,4.47,3.732498293
550,4.66,3.55612348
551,7.88,3.678535415
552,8.85,6.342146835
553,5.79,4.817087523
554,6.01,3.426026697
555,3.91,3.703139102
556,4.09,3.489482327
557,4.11,2.65176922
558,5.67,2.44917435
559,5.47,2.990062617
560,4.02,3.389099511
561,4.78,3.462258183
562,6.05,4.292793986
563,4.52,4.662773573
564,6.44,6.122402154
565,9.36,6.185724969
566,3.33,2.618988818
567,2.86,3.309313097
568,3.07,3.648061722
569,3.83,4.731482482
570,6.21,3.691740899
571,7.67,4.070723714
572,3.98,4.504354199
573,4.93,3.663030254
574,5.28,3.556427239
575,3.89,3.31440706
576,3.22,2.154644374
577,4.33,2.614608971
578,3.99,3.413273837
579,4.26,3.246461377
580,5.05,3.119935949
581,3.93,2.490049971
582,3.59,2.767791446
583,3.81,2.794073729
584,4.08,2.838781561
585,3.36,2.827741633
586,2.35,2.287636019
587,2.74,2.577340873
588,4.57,3.56010474
589,3.07,2.77469239
590,4.96,2.556669898
591,4.19,3.752909636
592,2.66,3.629377417
593,3.69,2.734610769
594,4.44,3.410292131
595,3.23,2.6633176
596,3.44,2.804721948
597,3.77,2.776304979
598,6.26,4.332663571
599,7.71,9.293942797
600,5.69,5.294649112
601,3.64,3.363247327
602,4.38,3.708081233
603,3.6,5.027931761
604,7.36,8.009764582
605,9.56,7.202034078
606,4.01,6.604450387
607,3.78,4.735095385
608,3.55,4.563260644
609,4.1,4.970618163
610,5.39,5.846679825
611,3.27,5.430705443
612,3.81,3.089870802
613,4.1,3.787471527
614,5.09,3.921759342
615,4.39,3.799424168
616,2.97,2.095429044
617,2.8,2.636882672
618,3.95,3.23060894
619,3.14,2.203717656
620,3.41,2.627318616
621,2.74,1.943279196
622,3.05,2.440822527
623,3.27,3.593531624
624,3.53,4.22171936
625,6.13,3.209588269
626,5.02,4.061869974
627,8.4,7.03040003
628,5.44,4.904760523
629,3.06,3.43126191
630,3.66,5.59100359
631,4.79,5.264905587
632,13.11,10.24701779
633,7.68,13.55632602
634,23.331,18.44175947
635,15.59,16.00426375
636,4.46,3.68126044
637,5.2,5.069534642
638,4.15,4.183020862
639,4.5,3.519091431
640,4.83,3.825387311
641,4.48,3.585131068
642,4.09,3.626363795
643,4.29,3.05271968
644,4.77,4.059767096
645,4.34,3.693138603
646,7.56,5.088850413
647,4.79,7.56471279
648,3.33,4.002361467
649,4.19,2.731145495
650,4.74,4.303186119
651,5.42,4.62227811
652,7.48,6.273146888
653,15.36,10.72480853
654,10.76,6.88621353
655,5.37,3.361728957
656,17.52,9.90956203
657,9.51,12.87155134
658,3.76,3.325692929
659,3.9,3.118576163
660,3.8,2.962971889
661,4.38,4.804062539
662,5.55,4.795763845
663,8.31,5.131813845
664,12.75,7.277143169
665,6.14,6.670857119
666,8.42,5.85250675
667,5.48,3.410815431
668,13.25,6.75595002
669,9.01,6.957097983
670,20.22,6.824116401
671,14.51,11.07133028
672,23.331,7.560514395
673,10.4,6.770090673
674,4.99,4.024284644
675,7.35,7.19296833
676,4.52,4.710086031
677,10.52,5.242669526
678,7.68,8.641276808
679,4.04,5.365939903
680,3.27,4.656198709
681,4.07,5.944294413
682,5.91,4.918687671
683,3.77,6.000418002
684,6.42,9.92531218
685,5.74,6.918457344
686,9.12,7.846250055
687,5.2,8.044787814
688,8.31,7.24402545
689,4.73,4.979380624
690,5.75,4.926305342
691,7.29,3.532011224
692,4.39,3.277810641
693,7.41,7.143715094
694,4.75,5.90569021
695,3.84,4.097995047
696,3.87,3.472300149
697,4.82,4.944672806
698,4.79,4.10265716
699,4.27,4.168320031
700,4.48,3.758711241
701,7.17,8.803979309
702,6.9,7.338513925
703,7.34,8.175328074
704,9.84,6.545102264
705,4.83,4.37376483
706,4.1,3.37652102
707,3.85,3.198860399
708,6.91,4.709558807
709,4.07,5.650911107
710,7.79,4.545897233
711,8.82,7.380573587
712,4.15,3.799760062
713,4.85,3.865914692
714,4.43,4.794800411
715,4.65,6.271841497
716,6.04,6.874332756
717,13.93,9.557592197
718,15.51,11.7599378
719,5.89,10.3789992
720,5.44,14.25457543
721,14.81,12.06338191
722,5.11,5.624069321
723,4.15,3.127703934
724,4.4,3.489335465
725,4.06,3.034713335
726,5.54,3.158769947
727,8.05,7.010037094
728,4.09,5.677311459
729,4.86,4.092349182
730,4.14,2.784056004
731,4.57,2.970459077
732,5.24,3.475317804
733,5.84,3.465436577
734,4.79,4.590747722
735,7.25,5.602055445
736,9.67,5.215471372
737,6.06,5.838251343
738,15,9.320771656
739,23.19,18.62562387
740,12.37,13.06152516
